id,safra,idade,renda,tempo_emprego,utilizacao,n_atrasos_12m,dti,consultas_6m,tipo_ocupacao,possui_imovel,default
163,202308,41,2411.0,2.0,0.245,2,0.055,1,CLT,1,0
164,202401,40,4394.0,2.6,0.146,0,0.327,1,autonomo,0,0
165,202401,41,1474.0,10.5,0.614,1,0.269,0,CLT,1,1
166,202311,60,1257.0,10.2,0.294,0,0.106,2,autonomo,1,0
167,202312,36,7231.0,0.4,0.368,1,0.359,4,aposentado,1,0
168,202311,29,5721.0,9.9,0.479,0,0.212,2,autonomo,0,0
169,202305,37,2155.0,1.2,0.471,1,0.233,2,autonomo,0,0
170,202304,22,3635.0,2.2,0.892,1,0.106,2,CLT,1,1
171,202306,26,6062.0,0.1,0.476,1,0.429,2,CLT,0,1
172,202408,25,4490.0,1.3,0.124,0,0.503,0,CLT,0,0
173,202406,58,3921.0,1.3,0.827,1,0.187,0,autonomo,0,1
174,202302,56,6295.0,3.5,0.649,0,0.373,1,CLT,0,1
175,202405,55,2527.0,2.5,0.425,1,0.377,0,autonomo,0,0
176,202312,43,3698.0,0.3,0.529,0,0.529,1,autonomo,0,0
177,202404,56,3609.0,10.7,0.266,0,0.22,1,CLT,1,0
178,202412,28,3177.0,9.1,0.546,1,0.52,0,CLT,1,0
179,202304,65,2996.0,11.1,0.187,2,0.127,0,CLT,0,0
180,202302,45,3776.0,2.5,0.349,0,0.404,1,autonomo,0,1
181,202405,66,3704.0,7.6,0.255,0,0.318,1,autonomo,0,0
182,202307,28,2156.0,0.8,0.437,0,0.188,2,aposentado,0,0
183,202309,45,5437.0,6.2,0.429,0,0.162,1,autonomo,1,0
184,202407,55,2235.0,1.2,0.107,0,0.105,1,autonomo,1,0
185,202308,45,3265.0,8.7,0.477,0,0.156,2,CLT,0,1
186,202403,42,3141.0,11.2,0.123,2,0.146,2,autonomo,1,0
187,202301,29,4355.0,1.0,0.541,0,0.209,1,CLT,1,0
188,202306,39,1262.0,4.8,0.485,0,0.109,3,autonomo,1,0
189,202408,32,5684.0,5.7,0.22,0,0.135,0,CLT,0,0
190,202408,35,2595.0,1.5,0.112,0,0.301,1,servidor,1,0
191,202409,54,6701.0,3.4,0.516,0,0.18,2,autonomo,0,0
192,202306,51,2867.0,10.9,0.595,0,0.1,1,CLT,1,0
193,202312,50,3553.0,5.9,0.237,0,0.068,2,servidor,1,0
194,202409,38,9480.0,3.7,0.399,1,0.622,4,CLT,1,0
195,202307,68,3170.0,5.7,0.305,1,0.281,0,CLT,1,0
196,202309,25,6764.0,16.1,0.927,0,0.086,0,autonomo,0,0
197,202402,37,3713.0,0.3,0.318,0,0.161,2,CLT,0,0
198,202303,26,4481.0,0.9,0.408,1,0.183,3,servidor,1,0
199,202305,37,3771.0,9.2,0.773,1,0.131,0,autonomo,0,1
200,202301,68,5563.0,5.7,0.224,0,0.487,2,autonomo,1,0
201,202405,38,2584.0,0.4,0.43,0,0.612,2,aposentado,0,0
202,202307,65,2226.0,0.5,0.428,1,0.245,1,CLT,0,0
203,202409,45,2646.0,7.7,0.465,1,0.46,1,CLT,0,0
204,202401,55,3827.0,3.6,0.282,2,0.688,1,servidor,1,0
205,202408,43,3260.0,7.0,0.876,0,0.175,0,servidor,0,0
206,202309,34,5193.0,11.6,0.531,0,0.144,2,servidor,0,0
207,202401,58,6991.0,2.5,0.322,1,0.406,0,CLT,1,0
208,202306,68,2235.0,2.5,0.168,2,0.276,2,CLT,1,1
209,202304,33,2523.0,1.3,0.558,0,0.154,2,aposentado,0,0
210,202301,59,1776.0,7.6,0.425,1,0.276,3,aposentado,1,1
211,202404,33,10049.0,0.1,0.431,0,0.118,1,autonomo,1,0
212,202308,56,4240.0,15.5,0.547,0,0.276,1,autonomo,0,0
213,202411,59,4628.0,0.4,0.405,1,0.307,0,CLT,0,0
214,202411,43,1863.0,8.6,0.372,0,0.189,0,CLT,0,0
215,202407,57,3639.0,0.3,0.256,0,0.135,1,CLT,1,0
216,202405,34,4697.0,0.6,0.695,0,0.322,1,servidor,0,0
217,202306,24,3209.0,2.2,0.526,0,0.308,1,CLT,1,0
218,202301,25,6234.0,2.6,0.176,0,0.251,1,autonomo,0,0
219,202403,42,11567.0,3.5,0.484,0,0.304,0,servidor,0,0
220,202409,65,2268.0,5.2,0.404,0,0.146,1,servidor,0,1
221,202402,27,2184.0,5.8,0.559,0,0.16,1,aposentado,0,1
222,202310,43,2348.0,1.9,0.368,0,0.341,2,CLT,0,1
223,202408,55,8128.0,2.2,0.132,1,0.313,0,aposentado,1,0
224,202406,30,6131.0,0.7,0.275,0,0.067,1,CLT,0,0
225,202303,56,3402.0,4.9,0.38,0,0.193,1,CLT,0,0
226,202410,35,3708.0,1.0,0.307,1,0.305,0,autonomo,1,0
227,202405,60,2420.0,4.3,0.493,1,0.154,0,CLT,0,0
228,202412,49,5682.0,17.3,0.3,0,0.225,1,aposentado,1,0
229,202311,47,3011.0,1.0,0.399,0,0.121,1,servidor,1,0
230,202406,29,3197.0,0.1,0.45,1,0.347,1,CLT,0,0
231,202306,43,4936.0,12.0,0.204,1,0.333,1,autonomo,1,0
232,202412,62,3314.0,1.7,0.205,0,0.062,3,aposentado,1,0
233,202301,21,3237.0,2.8,0.279,0,0.239,0,servidor,1,0
234,202410,58,3660.0,3.3,0.161,2,0.256,1,servidor,0,0
235,202408,45,5419.0,14.7,0.518,0,0.246,1,autonomo,0,0
236,202311,56,8294.0,9.1,0.665,1,0.395,1,servidor,0,0
237,202410,53,4879.0,0.1,0.198,0,0.143,1,autonomo,1,0
238,202305,42,5441.0,7.9,0.697,0,0.197,1,aposentado,0,0
239,202312,36,3295.0,6.0,0.572,0,0.289,0,CLT,0,0
240,202404,51,2556.0,3.1,0.416,1,0.177,0,autonomo,1,0
241,202411,27,5049.0,9.7,0.216,0,0.217,3,servidor,0,0
242,202306,49,3966.0,5.6,0.372,1,0.355,1,autonomo,1,0
243,202310,25,1788.0,3.2,0.431,0,0.058,3,aposentado,1,1
244,202309,52,3090.0,1.5,0.178,0,0.275,1,CLT,1,0
245,202406,51,3493.0,2.7,0.505,0,0.09,0,autonomo,1,0
246,202310,25,2821.0,9.6,0.151,0,0.244,0,servidor,1,0
247,202303,58,7638.0,24.2,0.57,0,0.382,0,autonomo,0,0
248,202409,41,4628.0,1.8,0.789,0,0.176,1,CLT,0,0
249,202308,59,7234.0,3.3,0.386,0,0.357,0,aposentado,0,0
250,202302,23,4154.0,11.4,0.305,1,0.056,0,CLT,0,0
251,202310,29,3792.0,10.3,0.636,0,0.12,1,CLT,1,0
252,202309,45,2279.0,6.2,0.671,1,0.16,1,CLT,0,1
253,202403,30,3663.0,1.0,0.461,0,0.091,2,servidor,1,0
254,202305,37,3665.0,5.2,0.339,0,0.278,0,servidor,1,0
255,202409,53,1838.0,0.3,0.716,0,0.336,0,CLT,0,0
256,202311,28,2780.0,9.5,0.172,0,0.657,2,CLT,1,1
257,202302,54,3098.0,2.1,0.573,0,0.244,2,aposentado,1,0
258,202305,26,4477.0,3.0,0.528,0,0.427,0,CLT,1,0
259,202302,29,4586.0,12.0,0.263,0,0.142,0,CLT,0,0
260,202307,49,2723.0,13.7,0.247,1,0.117,2,autonomo,0,0
261,202412,59,4603.0,2.6,0.124,1,0.436,1,CLT,1,0
262,202402,29,3324.0,1.9,0.234,0,0.26,2,servidor,1,1
263,202409,35,867.0,0.8,0.204,0,0.544,1,CLT,0,0
264,202410,66,2857.0,5.7,0.123,0,0.581,0,CLT,1,0
265,202302,69,6245.0,3.0,0.419,0,0.081,3,autonomo,0,0
266,202310,49,1570.0,1.0,0.335,1,0.373,1,CLT,0,1
267,202301,42,3852.0,2.4,0.677,0,0.382,1,autonomo,1,1
268,202410,37,8044.0,8.1,0.383,0,0.145,0,CLT,1,0
269,202308,51,2489.0,2.4,0.587,1,0.379,0,autonomo,0,1
270,202412,49,3645.0,6.9,0.417,0,0.076,1,CLT,0,0
271,202411,35,1897.0,3.0,0.601,0,0.413,0,autonomo,1,0
272,202307,22,8214.0,4.2,0.508,0,0.151,1,autonomo,0,0
273,202410,28,3492.0,8.3,0.27,0,0.123,2,autonomo,1,0
274,202402,67,3727.0,4.9,0.45,0,0.134,2,CLT,1,0
275,202409,41,7166.0,0.7,0.26,0,0.331,3,CLT,1,0
276,202405,44,5068.0,1.8,0.061,0,0.161,0,CLT,0,0
277,202308,43,2350.0,7.0,0.196,1,0.195,1,autonomo,1,0
278,202411,59,2634.0,1.1,0.39,0,0.501,0,CLT,1,0
279,202411,24,4663.0,2.9,0.68,0,0.241,1,aposentado,1,0
280,202312,25,2665.0,0.3,0.354,1,0.032,1,CLT,0,0
281,202307,34,1263.0,5.5,0.617,0,0.408,0,CLT,1,0
282,202308,44,3545.0,7.4,0.411,1,0.058,1,autonomo,1,0
283,202411,53,1737.0,3.4,0.406,1,0.166,2,servidor,0,1
284,202403,45,8169.0,2.4,0.333,0,0.156,1,aposentado,0,0
285,202312,42,3977.0,0.7,0.555,1,0.511,2,autonomo,0,1
286,202310,66,2316.0,12.3,0.405,0,0.339,1,autonomo,0,0
287,202311,28,2567.0,3.6,0.175,0,0.623,2,CLT,0,0
288,202312,49,1416.0,6.6,0.823,1,0.21,1,aposentado,0,0
289,202310,47,2101.0,8.5,0.157,1,0.369,3,autonomo,0,0
290,202402,44,6052.0,3.6,0.221,0,0.45,1,autonomo,0,0
291,202405,60,11113.0,3.0,0.459,0,0.371,1,servidor,0,0
292,202305,34,5235.0,2.7,0.292,1,0.097,0,CLT,1,0
293,202307,67,3477.0,6.3,0.702,1,0.102,4,CLT,1,0
294,202311,37,2934.0,1.6,0.484,0,0.07,0,servidor,0,0
295,202402,47,2257.0,5.3,0.362,1,0.268,0,servidor,1,0
296,202409,46,10197.0,2.0,0.402,0,0.659,3,CLT,1,1
297,202408,62,3313.0,14.1,0.107,0,0.404,5,CLT,1,0
298,202412,42,10486.0,3.7,0.862,0,0.481,0,CLT,0,1
299,202308,34,7308.0,11.4,0.454,0,0.09,0,CLT,0,0
300,202410,22,1525.0,5.0,0.138,0,0.461,1,servidor,1,0
301,202305,38,2610.0,0.1,0.576,0,0.242,0,servidor,1,0
302,202306,61,2606.0,9.2,0.341,1,0.257,1,CLT,1,1
303,202401,21,3498.0,0.4,0.245,1,0.324,1,CLT,1,0
304,202403,64,3533.0,14.8,0.143,0,0.252,2,autonomo,1,1
305,202301,47,16287.0,2.8,0.075,0,0.098,1,CLT,0,0
306,202303,27,2125.0,22.2,0.18,0,0.251,0,CLT,1,0
307,202410,35,4083.0,5.8,0.266,0,0.158,2,CLT,1,1
308,202307,48,4956.0,2.3,0.23,0,0.093,3,servidor,0,0
309,202407,36,3638.0,11.5,0.322,0,0.562,2,CLT,1,0
310,202312,26,3847.0,1.8,0.568,0,0.32,0,aposentado,1,0
311,202402,53,2159.0,2.6,0.186,2,0.344,2,CLT,1,0
312,202311,53,3840.0,0.0,0.421,0,0.625,1,CLT,0,0
313,202308,26,4702.0,0.6,0.114,1,0.08,4,autonomo,1,0
314,202411,34,4289.0,6.0,0.434,0,0.489,2,autonomo,0,0
315,202309,32,4842.0,0.3,0.341,0,0.203,0,autonomo,1,0
316,202409,53,7378.0,6.7,0.155,1,0.354,1,CLT,0,0
317,202410,56,5817.0,4.5,0.245,0,0.187,2,CLT,1,1
318,202409,56,3773.0,0.3,0.25,1,0.691,2,CLT,0,0
319,202401,66,2027.0,13.5,0.204,0,0.295,2,autonomo,1,0
320,202407,58,2697.0,0.2,0.713,0,0.446,0,CLT,1,1
321,202412,36,3262.0,2.3,0.324,1,0.762,0,CLT,0,0
322,202407,26,4131.0,7.6,0.302,0,0.392,2,servidor,0,0
323,202305,51,2866.0,0.6,0.473,2,0.075,0,autonomo,1,0
324,202403,65,2280.0,3.7,0.215,0,0.462,2,CLT,0,1
325,202307,68,2010.0,5.8,0.77,0,0.526,0,aposentado,0,0
326,202310,32,1595.0,0.7,0.347,2,0.269,2,CLT,1,1
327,202312,32,3237.0,2.1,0.622,1,0.056,0,CLT,1,1
328,202301,22,1746.0,0.3,0.324,0,0.121,1,aposentado,1,0
329,202411,27,2208.0,0.5,0.629,0,0.089,0,CLT,0,1
330,202303,48,2990.0,0.1,0.343,1,0.454,4,CLT,1,1
331,202311,47,1867.0,5.2,0.396,2,0.317,2,autonomo,1,0
332,202301,39,4402.0,2.4,0.594,0,0.101,1,CLT,1,0
333,202310,36,5272.0,0.0,0.536,0,0.064,1,autonomo,0,0
334,202408,61,2766.0,6.5,0.345,0,0.247,2,CLT,1,0
335,202302,43,2926.0,3.1,0.526,0,0.154,3,CLT,0,1
336,202312,60,4763.0,4.8,0.281,0,0.54,3,autonomo,1,0
337,202408,68,2548.0,0.7,0.566,0,0.387,1,CLT,1,0
338,202405,36,2462.0,0.4,0.48,0,0.761,1,CLT,1,0
339,202302,30,6623.0,3.5,0.237,0,0.61,0,servidor,1,0
340,202306,67,5665.0,3.2,0.408,0,0.173,1,CLT,1,0
341,202405,52,4919.0,9.5,0.247,0,0.195,0,servidor,0,0
342,202302,35,5784.0,5.5,0.336,0,0.662,3,servidor,1,0
343,202312,51,1355.0,1.7,0.371,0,0.24,1,CLT,0,0
344,202312,46,7165.0,5.2,0.054,0,0.088,0,aposentado,1,0
345,202306,65,4429.0,0.3,0.432,0,0.309,1,autonomo,0,0
346,202302,33,6035.0,6.9,0.248,0,0.591,1,CLT,0,0
347,202303,69,4419.0,5.8,0.271,1,0.118,1,aposentado,0,1
348,202310,66,3731.0,1.4,0.505,0,0.367,2,CLT,0,1
349,202306,29,3173.0,2.7,0.23,0,0.354,3,CLT,0,0
350,202307,29,4375.0,0.9,0.275,0,0.045,0,CLT,0,0
351,202407,47,3115.0,13.1,0.697,0,0.321,0,servidor,0,0
352,202306,23,5619.0,1.1,0.131,1,0.066,2,aposentado,0,0
353,202401,35,1647.0,2.9,0.397,2,0.286,3,servidor,0,1
354,202309,42,2777.0,5.0,0.273,1,0.242,0,CLT,1,0
355,202408,68,10121.0,0.0,0.474,0,0.585,0,servidor,1,0
356,202402,69,2662.0,3.7,0.231,0,0.115,3,autonomo,0,0
357,202305,28,3231.0,5.5,0.27,0,0.288,1,servidor,0,0
358,202306,64,2342.0,23.1,0.246,2,0.457,1,autonomo,1,1
359,202305,25,4307.0,0.5,0.641,2,0.073,1,CLT,1,0
360,202407,57,2520.0,1.2,0.445,1,0.358,3,servidor,1,0
361,202301,62,3318.0,1.5,0.238,1,0.202,1,CLT,0,0
362,202308,64,5566.0,11.2,0.697,0,0.528,0,autonomo,1,0
363,202309,31,2567.0,4.2,0.09,0,0.141,0,autonomo,1,0
364,202406,64,5401.0,0.9,0.101,1,0.153,1,CLT,0,1
365,202411,26,5492.0,5.9,0.412,0,0.033,0,CLT,0,0
366,202409,46,6170.0,0.2,0.289,0,0.108,3,CLT,1,0
367,202402,44,3906.0,1.5,0.403,0,0.557,1,aposentado,1,0
368,202306,36,18410.0,4.6,0.906,1,0.049,2,CLT,0,0
369,202306,22,6169.0,7.7,0.409,0,0.399,0,CLT,0,1
370,202403,58,4283.0,7.8,0.653,3,0.009,2,CLT,1,0
371,202307,37,2350.0,6.6,0.438,0,0.349,3,autonomo,0,1
372,202311,53,3468.0,6.5,0.366,1,0.439,0,autonomo,1,0
373,202307,41,7429.0,7.7,0.383,0,0.02,1,CLT,1,0
374,202311,39,8559.0,0.7,0.355,0,0.175,4,servidor,0,0
375,202402,64,7625.0,8.8,0.89,1,0.031,1,CLT,0,0
376,202410,25,5392.0,3.8,0.691,1,0.137,2,CLT,1,0
377,202410,57,1943.0,4.4,0.028,0,0.267,3,CLT,1,0
378,202401,57,4645.0,3.7,0.343,0,0.167,1,CLT,0,0
379,202312,39,1957.0,1.3,0.367,0,0.342,0,autonomo,1,0
380,202310,33,1731.0,3.3,0.578,0,0.11,1,aposentado,0,1
381,202308,21,4103.0,1.6,0.311,0,0.416,0,aposentado,1,0
